database,table,name,type,mode
hr_analytics,aug_test,enrollee_id,INTEGER,NULLABLE
hr_analytics,aug_test,city,STRING,NULLABLE
hr_analytics,aug_test,ecity_development_index,FLOAT,NULLABLE
hr_analytics,aug_test,gender,STRING,NULLABLE
hr_analytics,aug_test,relevent_experience,STRING,NULLABLE
hr_analytics,aug_test,enrolled_university,STRING,NULLABLE
hr_analytics,aug_test,education_level,STRING,NULLABLE
hr_analytics,aug_test,major_discipline,STRING,NULLABLE
hr_analytics,aug_test,experience,STRING,NULLABLE
hr_analytics,aug_test,company_size,STRING,NULLABLE
hr_analytics,aug_test,company_type,STRING,NULLABLE
hr_analytics,aug_test,last_new_job,STRING,NULLABLE
hr_analytics,aug_test,training_hours,INTEGER,NULLABLE
hr_analytics,aug_train,enrollee_id,INTEGER,NULLABLE
hr_analytics,aug_train,city,STRING,NULLABLE
hr_analytics,aug_train,ecity_development_index,FLOAT,NULLABLE
hr_analytics,aug_train,gender,STRING,NULLABLE
hr_analytics,aug_train,relevent_experience,STRING,NULLABLE
hr_analytics,aug_train,enrolled_university,STRING,NULLABLE
hr_analytics,aug_train,education_level,STRING,NULLABLE
hr_analytics,aug_train,major_discipline,STRING,NULLABLE
hr_analytics,aug_train,experience,STRING,NULLABLE
hr_analytics,aug_train,company_size,STRING,NULLABLE
hr_analytics,aug_train,company_type,STRING,NULLABLE
hr_analytics,aug_train,last_new_job,STRING,NULLABLE
hr_analytics,aug_train,training_hours,INTEGER,NULLABLE
hr_analytics,aug_train,target,FLOAT,NULLABLE
hr_analytics,sample_submission,enrollee_id,INTEGER,NULLABLE
hr_analytics,sample_submission,target,FLOAT,NULLABLE



